3,42,233,3.73,-6.35,-3.87,5.99,18.56,67.53,24.46,23.77,49.78,49.09
4,40,422,3.65,-6.34,-3.74,5.93,18.99,58.54,24.36,23.62,49.70,48.96
5,38,612,3.57,-6.33,-3.61,5.87,19.45,50.72,24.25,23.46,49.62,48.82
5.5,37,706,3.52,-6.33,-3.54,5.84,19.70,47.25,24.20,23.38,49.58,48.76
6,36,801,3.48,-6.32,-3.46,5.81,19.95,44.10,24.14,23.29,49.52,48.67
6.5,35,895,3.44,-6.31,-3.39,5.78,20.22,41.20,24.07,23.18,49.46,48.58
7,34,990,3.40,-6.31,-3.31,5.75,20.49,38.44,24.00,23.06,49.41,48.47
7.5,34,084,3.36,-6.30,-3.24,5.72,20.79,36.00,23.89,22.89,49.31,48.31
8,33,179,3.32,-6.30,-3.16,5.68,21.10,33.72,23.81,22.70,49.25,48.14
8.5,32,274,3.28,-6.29,-3.08,5.65,21.41,31.54,23.74,22.56,49.19,48.00
9,31,368,3.23,-6.29,-2.99,5.61,21.76,29.63,23.65,22.21,49.11,47.67
9.5,30,463,3.19,-6.28,-2.91,5.57,22.11,27.83,23.52,21.87,49.00,47.35